Name,Yield
From Cutflow bin 8
Data_hist,479127.0
ZTT,185712.015625
ZLL,9863.353515625
Fake,200157.984375
TT,44565.02734375
ggh,3862.9921875
VV,14159.4306640625
"From tau charge, integral, with mT cut"
Data_hist,261613.0
ZTT,153886.5234375
ZLL,4658.62158203125
Fake,79070.30078125
TT,12025.34130859375
ggh,2253.740234375
VV,3865.377197265625
"From tau charge, integral, with mT cut"
Data_hist,261613.0
ZTT,153886.5234375
ZLL,4658.62158203125
Fake,79070.30078125
TT,12025.34130859375
ggh,2253.740234375
VV,3865.377197265625
From Cutflow bin 8
Data_hist,479127.0
ZTT,185712.015625
ZLL,9863.353515625
Fake,200157.984375
TT,44565.02734375
ggh,3862.9921875
VV,14159.4306640625
"From tau charge, integral, with mT cut"
Data_hist,261613.0
ZTT,153886.5234375
ZLL,4658.62158203125
Fake,79070.30078125
TT,12025.34130859375
ggh,2253.740234375
VV,3865.377197265625
From Cutflow bin 8
Data_hist,479127.0
ZTT,185712.015625
ZLL,9863.353515625
Fake,200157.984375
TT,44565.02734375
ggh,3862.9921875
VV,14159.4306640625
